(-43.036793, -22.338469)
(-43.03654, -22.338432)
(-43.03651, -22.338438)
(-43.036385, -22.33845)
(-43.03635, -22.338453)
(-43.036304, -22.338448)
(-43.03605, -22.338547)
(-43.035847, -22.338491)
(-43.03562, -22.338257)
(-43.03562, -22.338245)
(-43.035587, -22.338257)
(-43.035587, -22.338251)
(-43.035587, -22.338257)
(-43.035587, -22.33826)
(-43.03554, -22.338297)
(-43.035526, -22.33831)
(-43.035465, -22.33835)
(-43.035423, -22.338379)
(-43.035404, -22.338402)
(-43.03536, -22.338446)
(-43.035336, -22.338478)
(-43.035316, -22.33851)
(-43.035294, -22.338552)
(-43.035263, -22.338593)
(-43.035225, -22.33863)
(-43.03519, -22.33866)
(-43.035164, -22.33871)
(-43.035145, -22.338745)
(-43.03511, -22.338776)
(-43.035084, -22.338808)
(-43.035053, -22.338861)
(-43.035034, -22.338896)
(-43.03502, -22.33894)
(-43.034996, -22.338987)
(-43.034977, -22.339018)
(-43.034954, -22.339064)
(-43.03494, -22.339092)
(-43.03491, -22.33915)
(-43.034904, -22.339163)
(-43.034885, -22.339197)
(-43.03487, -22.339226)
(-43.034874, -22.339268)
(-43.03487, -22.339323)
(-43.034878, -22.339354)
(-43.034885, -22.33939)
(-43.034893, -22.339426)
(-43.034904, -22.339464)
(-43.034916, -22.339493)
(-43.034924, -22.339521)
(-43.03491, -22.339554)
(-43.03489, -22.339577)
(-43.03487, -22.33961)
(-43.034855, -22.339643)
(-43.034836, -22.339678)
(-43.034817, -22.339712)
(-43.034805, -22.339748)
(-43.03479, -22.339777)
(-43.034782, -22.339808)
(-43.03477, -22.339844)
(-43.03476, -22.33989)
(-43.034737, -22.339922)
(-43.03471, -22.339962)
(-43.034683, -22.34)
(-43.034657, -22.340042)
(-43.034637, -22.340067)
(-43.034615, -22.340092)
(-43.034573, -22.340118)
(-43.034546, -22.340149)
(-43.034504, -22.340193)
(-43.034485, -22.340225)
(-43.034454, -22.340263)
(-43.034428, -22.340292)
(-43.03441, -22.34033)
(-43.03437, -22.340378)
(-43.03436, -22.340387)
(-43.034348, -22.340406)
(-43.034332, -22.340437)
(-43.034294, -22.340502)
(-43.03427, -22.340544)
(-43.034252, -22.340578)
(-43.03424, -22.340614)
(-43.034225, -22.340658)
(-43.034218, -22.34067)
(-43.034203, -22.340725)
(-43.03419, -22.34074)
(-43.03418, -22.340776)
(-43.034164, -22.340805)
(-43.034153, -22.340853)
(-43.034138, -22.340893)
(-43.034122, -22.340933)
(-43.034103, -22.340965)
(-43.034103, -22.340998)
(-43.034092, -22.341019)
(-43.03409, -22.341063)
(-43.03408, -22.341085)
(-43.034077, -22.341108)
(-43.03407, -22.341145)
(-43.034065, -22.34115)
(-43.03407, -22.341194)
(-43.03407, -22.341208)
(-43.03407, -22.341244)
(-43.03407, -22.341269)
(-43.034058, -22.341307)
(-43.034054, -22.34133)
(-43.034042, -22.34135)
(-43.034035, -22.341389)
(-43.034027, -22.341398)
(-43.034035, -22.341425)
(-43.03404, -22.341454)
(-43.034046, -22.341492)
(-43.03405, -22.341536)
(-43.03405, -22.34156)
(-43.034058, -22.341595)
(-43.034054, -22.341635)
(-43.034054, -22.341646)
(-43.034054, -22.341671)
(-43.034054, -22.3417)
(-43.034058, -22.341738)
(-43.034058, -22.341753)
(-43.03405, -22.34178)
(-43.034042, -22.3418)
(-43.034042, -22.341818)
(-43.034027, -22.341852)
(-43.03403, -22.342016)
(-43.03403, -22.34204)
(-43.03403, -22.342016)
(-43.034027, -22.341852)
(-43.034042, -22.341818)
(-43.034042, -22.3418)
(-43.03405, -22.34178)
(-43.034058, -22.341753)
(-43.034058, -22.341738)
(-43.034054, -22.3417)
(-43.034054, -22.341671)
(-43.034054, -22.341646)
(-43.034054, -22.341635)
(-43.034058, -22.341595)
(-43.03405, -22.34156)
(-43.03405, -22.341536)
(-43.034046, -22.341492)
(-43.03404, -22.341454)
(-43.034035, -22.341425)
(-43.034027, -22.341398)
(-43.034035, -22.341389)
(-43.034042, -22.34135)
(-43.034054, -22.34133)
(-43.034058, -22.341307)
(-43.03407, -22.341269)
(-43.03407, -22.341244)
(-43.03407, -22.341208)
(-43.03407, -22.341194)
(-43.034065, -22.34115)
(-43.03407, -22.341145)
(-43.034077, -22.341108)
(-43.03408, -22.341085)
(-43.03409, -22.341063)
(-43.034092, -22.341019)
(-43.034103, -22.340998)
(-43.034103, -22.340965)
(-43.034122, -22.340933)
(-43.034138, -22.340893)
(-43.034153, -22.340853)
(-43.034164, -22.340805)
(-43.03418, -22.340776)
(-43.03419, -22.34074)
(-43.034203, -22.340725)
(-43.034218, -22.34067)
(-43.034225, -22.340658)
(-43.03424, -22.340614)
(-43.034252, -22.340578)
(-43.03427, -22.340544)
(-43.034294, -22.340502)
(-43.034332, -22.340437)
(-43.034348, -22.340406)
(-43.03436, -22.340387)
(-43.03437, -22.340378)
(-43.03441, -22.34033)
(-43.034428, -22.340292)
(-43.034454, -22.340263)
(-43.034485, -22.340225)
(-43.034504, -22.340193)
(-43.034546, -22.340149)
(-43.034573, -22.340118)
(-43.034615, -22.340092)
(-43.034637, -22.340067)
(-43.034657, -22.340042)
(-43.034683, -22.34)
(-43.03471, -22.339962)
(-43.034737, -22.339922)
(-43.03476, -22.33989)
(-43.03477, -22.339844)
(-43.034782, -22.339808)
(-43.03479, -22.339777)
(-43.034805, -22.339748)
(-43.034817, -22.339712)
(-43.034836, -22.339678)
(-43.034855, -22.339643)
(-43.03487, -22.33961)
(-43.03489, -22.339577)
(-43.03491, -22.339554)
(-43.034924, -22.339521)
(-43.034916, -22.339493)
(-43.034904, -22.339464)
(-43.034893, -22.339426)
(-43.034885, -22.33939)
(-43.034878, -22.339354)
(-43.03487, -22.339323)
(-43.034874, -22.339268)
(-43.03487, -22.339226)
(-43.034885, -22.339197)
(-43.034904, -22.339163)
(-43.03491, -22.33915)
(-43.03494, -22.339092)
(-43.034954, -22.339064)
(-43.034977, -22.339018)
(-43.034996, -22.338987)
(-43.03502, -22.33894)
(-43.035034, -22.338896)
(-43.035053, -22.338861)
(-43.035084, -22.338808)
(-43.03511, -22.338776)
(-43.035145, -22.338745)
(-43.035164, -22.33871)
(-43.03519, -22.33866)
(-43.035225, -22.33863)
(-43.035263, -22.338593)
(-43.035294, -22.338552)
(-43.035316, -22.33851)
(-43.035336, -22.338478)
(-43.03536, -22.338446)
(-43.035404, -22.338402)
(-43.035423, -22.338379)
(-43.035465, -22.33835)
(-43.035526, -22.33831)
(-43.03554, -22.338297)
(-43.035587, -22.33826)
(-43.035587, -22.338257)
(-43.03537, -22.33836)
(-43.03531, -22.3384)
(-43.035034, -22.338667)
(-43.03502, -22.338692)
(-43.034885, -22.338804)
(-43.03485, -22.338825)
(-43.034836, -22.33883)
(-43.03444, -22.339003)
(-43.034153, -22.33914)
(-43.034138, -22.339151)
(-43.034035, -22.339237)
(-43.034, -22.339264)
(-43.033787, -22.339512)
(-43.033665, -22.33979)
(-43.033337, -22.340145)
(-43.033287, -22.34017)
(-43.033, -22.340416)
(-43.03283, -22.340525)
(-43.03281, -22.340548)
(-43.032658, -22.340733)
(-43.032642, -22.340752)
(-43.032627, -22.340767)
(-43.03261, -22.340786)
(-43.032505, -22.34094)
(-43.032425, -22.341095)
(-43.03222, -22.341486)
(-43.032043, -22.341637)
(-43.0317, -22.341843)
(-43.031605, -22.341959)
(-43.031597, -22.341967)
(-43.031532, -22.342045)
(-43.031414, -22.342087)
(-43.03132, -22.342102)
(-43.031307, -22.342108)
(-43.031185, -22.342213)
(-43.031105, -22.342266)
(-43.031094, -22.34227)
(-43.030983, -22.342312)
(-43.030857, -22.342365)
(-43.030773, -22.342405)
(-43.030857, -22.342365)
(-43.030983, -22.342312)
(-43.031094, -22.34227)
(-43.031105, -22.342266)
(-43.031185, -22.342213)
(-43.031307, -22.342108)
(-43.03132, -22.342102)
(-43.031414, -22.342087)
(-43.031532, -22.342045)
(-43.031597, -22.341967)
(-43.031605, -22.341959)
(-43.0317, -22.341843)
(-43.032043, -22.341637)
(-43.03222, -22.341486)
(-43.032425, -22.341095)
(-43.032505, -22.34094)
(-43.03261, -22.340786)
(-43.032627, -22.340767)
(-43.032642, -22.340752)
(-43.032658, -22.340733)
(-43.03281, -22.340548)
(-43.03283, -22.340525)
(-43.033, -22.340416)
(-43.033287, -22.34017)
(-43.033337, -22.340145)
(-43.033665, -22.33979)
(-43.033787, -22.339512)
(-43.034, -22.339264)
(-43.034035, -22.339237)
(-43.034138, -22.339151)
(-43.034153, -22.33914)
(-43.03444, -22.339003)
(-43.034836, -22.33883)
(-43.03485, -22.338825)
(-43.034885, -22.338804)
(-43.03502, -22.338692)
(-43.035034, -22.338667)
(-43.03531, -22.3384)
(-43.03537, -22.33836)
(-43.035587, -22.338257)
(-43.03562, -22.338245)
(-43.035618, -22.338236)
(-43.03562, -22.338226)
(-43.035633, -22.338224)
(-43.03562, -22.338226)
